-3.677372743701221,133.0
-3.03629053835422,57.0
-1.078287782854094,74.0
-2.3926000008305466,268.0
-2.9607263048721877,300.0
-2.7507421924273427,102.0
-2.9081080400168204,239.0
-3.2274695461540728,208.0
-3.1983274680118194,118.0
-3.4297129942295856,134.0
-2.9831096992931325,152.0
-2.875743523425657,105.0
-2.593727075620902,271.0
-2.623737746307804,182.0
-1.1707902057041886,300.0
-3.125045471362561,139.0
-1.8785667044035093,35.0
-3.270194845793687,13.0
-3.042214262080272,17.0
-2.9174786206172754,12.0
-2.7964344478700482,14.0
-2.1344491392423603,9.0
-2.43581468301658,13.0
-4.01930805770685,5.0
-11.310712214027133,1.0
